TSNE1,TSNE2,class
24.833677,1.1384735,statue_of_liberty
-20.38005,0.38702348,statue_of_liberty
-28.878128,1.1233295,statue_of_liberty
-6.6108475,-3.3510985,statue_of_liberty
22.518246,-1.4391799,statue_of_liberty
-19.55027,0.41299272,statue_of_liberty
-33.028034,2.2537043,statue_of_liberty
-21.370584,-0.21500903,statue_of_liberty
-20.258595,-0.2519554,statue_of_liberty
-10.13247,-1.9299229,statue_of_liberty
-26.58466,1.5540718,statue_of_liberty
17.25248,-0.21980119,statue_of_liberty
5.679229,-2.4189212,statue_of_liberty
-21.927391,0.4978801,statue_of_liberty
-25.336836,0.92638946,statue_of_liberty
-20.959698,-0.7413126,statue_of_liberty
-39.325794,2.9330993,statue_of_liberty
-31.583578,1.9647065,statue_of_liberty
-23.051395,-0.33612648,statue_of_liberty
-23.992481,0.59623194,statue_of_liberty
-32.170425,1.9361979,statue_of_liberty
-35.521107,1.8555468,statue_of_liberty
-3.8397038,-2.6003246,statue_of_liberty
-7.8242745,-3.3952372,statue_of_liberty
-20.888668,-0.2133673,statue_of_liberty
-19.962568,-0.107334085,statue_of_liberty
-3.7388597,-2.3498108,statue_of_liberty
-17.726658,-0.0031606457,statue_of_liberty
-31.060453,1.868202,statue_of_liberty
-31.831934,1.688691,statue_of_liberty
-35.127254,1.731594,statue_of_liberty
-32.63118,1.6742635,statue_of_liberty
-18.92554,-2.3185384,statue_of_liberty
24.398685,1.3074467,statue_of_liberty
-3.0494876,-2.1251283,statue_of_liberty
-22.473337,-0.28561524,statue_of_liberty
3.793355,-2.1798167,statue_of_liberty
16.08404,-0.97696334,statue_of_liberty
-27.111382,1.8417876,statue_of_liberty
-8.103571,-3.9867876,statue_of_liberty
6.6202874,-1.2186137,eiffel_tower
23.889235,1.1790388,eiffel_tower
-36.915733,2.4987206,eiffel_tower
15.854101,0.70617026,eiffel_tower
41.61146,2.045473,eiffel_tower
-10.976988,-1.3187749,eiffel_tower
41.78191,2.7491841,eiffel_tower
19.185637,0.5717758,eiffel_tower
42.239147,3.3879797,eiffel_tower
40.09629,2.8899028,eiffel_tower
37.75663,1.7764552,eiffel_tower
6.5813107,-0.34182253,eiffel_tower
-34.972897,2.0229886,eiffel_tower
-31.394857,2.331147,eiffel_tower
-7.7966475,-3.3485823,eiffel_tower
23.881086,-2.2710314,eiffel_tower
28.636179,1.0885108,eiffel_tower
21.729523,0.6475329,eiffel_tower
-37.436787,2.484101,eiffel_tower
-7.3838787,-1.9897597,eiffel_tower
18.71325,0.54683083,eiffel_tower
-36.818417,3.093518,eiffel_tower
15.127834,0.66438746,eiffel_tower
-7.286768,-2.5653477,eiffel_tower
-16.901491,-0.7213622,eiffel_tower
5.2734666,-0.38087767,eiffel_tower
-5.131867,-2.311233,eiffel_tower
19.81461,0.106485665,eiffel_tower
27.946287,1.0370717,eiffel_tower
23.302551,-2.2982776,eiffel_tower
-17.30444,-0.75450754,eiffel_tower
36.4024,2.4494889,eiffel_tower
-10.136147,-5.069313,eiffel_tower
-41.54147,2.7894127,eiffel_tower
41.724648,2.8344834,eiffel_tower
17.42072,-0.9171689,eiffel_tower
21.83591,-0.89142114,eiffel_tower
-30.242437,2.2746441,eiffel_tower
-40.586773,3.3082201,eiffel_tower
-17.354229,-1.4264753,eiffel_tower
10.236726,-0.49158573,eiffel_tower
25.098124,1.038462,eiffel_tower
13.490835,0.4952664,eiffel_tower
14.823317,0.9598852,eiffel_tower
-14.623205,-0.767774,eiffel_tower
-33.462757,2.043601,eiffel_tower
29.960209,2.1114361,eiffel_tower
-18.10964,-0.23711878,eiffel_tower
