feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,class
3582.0,0.0792930666574554,0.016387939453125,0.01190185546875,0.0088043212890625,0.0064239501953125,0.0036773681640625,0.003326416015625,0.00250244140625,0.0057373046875,0.0085296630859375,0.0115203857421875,0.0101776123046875,0.0130767822265625,0.015777587890625,0.0458984375,0.00714111328125,0.037994384765625,0.01055908203125,0.0458984375,0.01580810546875,0.014007568359375,0.012359619140625,0.0159454345703125,0.0170745849609375,0.016845703125,0.4728851318359375,0.16973876953125,317.33645833333327,0.7324364715037002,0.8646297925546834,0.2163042725748021,299.0,113.0,7.171200952427315,0.43314985795454547,statue_of_liberty
1951.0,0.08506231884073014,0.010711669921875,0.0072479248046875,0.0053558349609375,0.00701904296875,0.0024871826171875,0.001800537109375,0.0017547607421875,0.0074005126953125,0.012451171875,0.01739501953125,0.0134429931640625,0.015167236328125,0.0113983154296875,0.0886077880859375,0.0094757080078125,0.0787200927734375,0.0167694091796875,0.086700439453125,0.02227783203125,0.016143798828125,0.011077880859375,0.0146942138671875,0.013641357421875,0.0117034912109375,0.3999481201171875,0.116607666015625,152.5965379901961,0.837704982894059,0.8451948852601081,0.1401235535389546,304.0,89.0,6.6917302503403775,0.49533025568181815,statue_of_liberty
6780.0,0.11145362925768525,0.025482177734375,0.01531982421875,0.012603759765625,0.0102081298828125,0.007843017578125,0.0095367431640625,0.0093231201171875,0.012847900390625,0.01727294921875,0.0265655517578125,0.0431976318359375,0.0903472900390625,0.107757568359375,0.0884246826171875,0.0567169189453125,0.0384979248046875,0.0237884521484375,0.0202484130859375,0.0125885009765625,0.0127105712890625,0.0127716064453125,0.0161590576171875,0.0167236328125,0.014801025390625,0.048187255859375,0.2500762939453125,654.0473958333333,0.4725707744990313,0.9466965469233954,0.04277785754393616,292.0,233.0,7.6382394118831805,0.49612862723214285,statue_of_liberty
5544.0,0.10645990312370414,0.0260162353515625,0.015625,0.0122222900390625,0.0088348388671875,0.006561279296875,0.005096435546875,0.00506591796875,0.00921630859375,0.011749267578125,0.017974853515625,0.0240631103515625,0.0576171875,0.06494140625,0.2109222412109375,0.0487213134765625,0.088348388671875,0.0162200927734375,0.0274658203125,0.0079345703125,0.006500244140625,0.0054779052734375,0.0085601806640625,0.0114288330078125,0.0163726806640625,0.0359039306640625,0.25115966796875,134.32985600490198,0.599400716412238,0.972947184779232,0.04932632529793554,298.0,113.0,7.232685995770045,0.4947388795045045,statue_of_liberty
2093.0,0.11853671561027719,0.0250244140625,0.0248870849609375,0.00958251953125,0.0066680908203125,0.0054473876953125,0.00579833984375,0.0054473876953125,0.0077972412109375,0.011199951171875,0.0132904052734375,0.0172271728515625,0.02532958984375,0.025970458984375,0.026611328125,0.0222625732421875,0.0221099853515625,0.015106201171875,0.016326904296875,0.0094451904296875,0.0113525390625,0.0156402587890625,0.0237579345703125,0.037506103515625,0.0236358642578125,0.107757568359375,0.4848175048828125,124.73483455882352,0.6837341066607082,0.8576259346072357,0.12885841842802404,330.0,98.0,6.781593394264345,0.49535642570281124,statue_of_liberty
4634.0,0.048240011698947594,0.0125732421875,0.009674072265625,0.0062103271484375,0.0036773681640625,0.0031280517578125,0.0032958984375,0.0028076171875,0.003387451171875,0.0044708251953125,0.00653076171875,0.0059051513671875,0.0096282958984375,0.0123748779296875,0.0267181396484375,0.008544921875,0.0232086181640625,0.007537841796875,0.0228271484375,0.005767822265625,0.0067901611328125,0.0062255859375,0.0079803466796875,0.009735107421875,0.0128021240234375,0.61376953125,0.1644287109375,228.1897671568627,0.7502385598150221,0.9686377727322997,0.6947405519210621,457.0,133.0,7.539605706115852,0.18872549019607843,statue_of_liberty
3666.0,0.11208723625109884,0.0230712890625,0.0174713134765625,0.0162353515625,0.01348876953125,0.0102996826171875,0.0084228515625,0.0060577392578125,0.0103912353515625,0.01568603515625,0.0220947265625,0.0301971435546875,0.055816650390625,0.06256103515625,0.100677490234375,0.0409698486328125,0.0533599853515625,0.02398681640625,0.0297393798828125,0.0160369873046875,0.0143280029296875,0.0133209228515625,0.01812744140625,0.019561767578125,0.0171661376953125,0.0787506103515625,0.2821807861328125,63.86680453431372,0.6697942279535953,0.9588838691445211,0.08489170643569972,298.0,74.0,6.700421271667505,0.495818661971831,statue_of_liberty
9601.0,0.12070828394218917,0.0450439453125,0.02081298828125,0.018463134765625,0.0147247314453125,0.0100250244140625,0.0075836181640625,0.0066680908203125,0.008209228515625,0.009368896484375,0.0116729736328125,0.011566162109375,0.0120849609375,0.01251220703125,0.0323028564453125,0.0094451904296875,0.027923583984375,0.0106964111328125,0.0302734375,0.012298583984375,0.013153076171875,0.014434814453125,0.0200042724609375,0.0265655517578125,0.0286712646484375,0.2112579345703125,0.374237060546875,300.1739276960785,0.4321510836112572,0.8795893590158891,0.11847364029289684,267.0,430.0,7.770538564517325,0.48439503205128204,statue_of_liberty
6836.0,0.10580313332215985,0.0251007080078125,0.0172576904296875,0.012725830078125,0.0090179443359375,0.006561279296875,0.0065155029296875,0.0058135986328125,0.011871337890625,0.01495361328125,0.01812744140625,0.0184478759765625,0.0338287353515625,0.0432891845703125,0.0656280517578125,0.0173492431640625,0.037109375,0.0134429931640625,0.03985595703125,0.0150909423828125,0.015533447265625,0.0153350830078125,0.0209197998046875,0.023345947265625,0.02398681640625,0.237396240234375,0.251495361328125,389.29120710784315,0.48464708771241594,0.9148959082491166,0.12318477955539214,293.0,155.0,7.497594616134535,0.4955357142857143,statue_of_liberty
6997.0,0.10076492800669368,0.0271148681640625,0.0182647705078125,0.01409912109375,0.010955810546875,0.00836181640625,0.00665283203125,0.006256103515625,0.0088653564453125,0.010467529296875,0.0138092041015625,0.0146331787109375,0.0191802978515625,0.025848388671875,0.0509490966796875,0.010772705078125,0.0424957275390625,0.010711669921875,0.043792724609375,0.0134429931640625,0.012237548828125,0.011932373046875,0.0157012939453125,0.0216217041015625,0.023406982421875,0.30023193359375,0.2581939697265625,408.16248468137263,0.5253244273663455,0.9106342653265044,0.1546141035857729,281.0,196.0,7.42794974849183,0.48772905759162305,statue_of_liberty
