PCA_1,PCA_2,class
-4241.68650680194,117.4303752487051,statue_of_liberty
-5877.076345385487,17.00123084362008,statue_of_liberty
-1032.426090577962,348.61536025057694,statue_of_liberty
-2287.403026484175,-134.48179790853766,statue_of_liberty
-5735.868954712752,-12.064313015896829,statue_of_liberty
-3193.1972879995456,-0.0004650046770109384,statue_of_liberty
-4167.006813993364,-139.5303208130373,statue_of_liberty
1780.6391476570852,-43.81145126113879,statue_of_liberty
-987.2695407098581,70.71233069993076,statue_of_liberty
-824.5567086663459,94.0666753778321,statue_of_liberty
-5688.687598786181,-60.707800490955336,statue_of_liberty
-2054.383271641739,373.0459433219994,statue_of_liberty
-3949.427545781207,-64.3755207178195,statue_of_liberty
-7472.265223684321,-71.00485565897108,statue_of_liberty
-6164.31498867296,-72.69901027138805,statue_of_liberty
4411.988871636301,182.24766207194418,statue_of_liberty
-1917.919803402182,-20.807835303181484,statue_of_liberty
-2796.422030786105,520.342508430044,statue_of_liberty
-4791.317512464537,-96.24090679845486,statue_of_liberty
-2337.8373590726287,-29.599697136755438,statue_of_liberty
-1902.0947545055224,-13.132353801478544,statue_of_liberty
-5725.077890768822,-124.67575766930933,statue_of_liberty
-3228.231191129812,166.88645978453098,statue_of_liberty
1718.7012186369711,-126.5559106969171,statue_of_liberty
-4075.604281139935,95.7063244541169,statue_of_liberty
-6336.6795927202475,-105.29350262408052,statue_of_liberty
-3183.955586606884,69.12597646690429,statue_of_liberty
1038.4655292899233,-234.412469154396,statue_of_liberty
833.9434753987125,-60.86017849177677,statue_of_liberty
-4072.9923037161066,-41.969729030842906,statue_of_liberty
-2399.858669989587,-134.37565324700364,statue_of_liberty
-2456.3085202086822,-85.19568838664692,statue_of_liberty
-5010.924373460923,-137.60720073321414,statue_of_liberty
-1122.9311068726201,34.702721147879004,statue_of_liberty
-2656.6065142090147,-20.183985798852902,statue_of_liberty
1733.0923131197042,-65.75083077613446,statue_of_liberty
-1865.0849125009117,64.08765325608525,statue_of_liberty
4252.092000976226,-117.19747213703644,statue_of_liberty
1103.5441947497102,651.9756694993984,statue_of_liberty
-1930.737238904093,145.2828982170785,statue_of_liberty
-840.5936231839132,30.911235403357765,statue_of_liberty
-1552.9966495569088,417.56226755675596,statue_of_liberty
3876.2444265380136,2.4642501625488364,statue_of_liberty
-1487.8078914202106,-167.83351344890067,statue_of_liberty
-6147.646864331011,0.5224558103618762,statue_of_liberty
-3261.984899586465,-118.68821197542033,statue_of_liberty
-67.80645661277595,51.81357828712203,statue_of_liberty
2436.4061260428143,-42.893380884235505,statue_of_liberty
-3604.79321195141,-146.63978806134173,statue_of_liberty
-1336.9352466292175,77.59678994572675,statue_of_liberty
-2965.0152621795205,-57.59319451262146,statue_of_liberty
-5096.676518434028,-91.20224614779926,statue_of_liberty
-5041.448813967845,-90.31716981221103,statue_of_liberty
-3213.7356597682656,-94.04488407489268,statue_of_liberty
-3688.38765357585,-101.42595481490605,statue_of_liberty
-6287.824920062418,43.511690444848895,statue_of_liberty
-5092.051596671659,61.73252509097472,statue_of_liberty
3905.358197972121,546.530303042056,statue_of_liberty
-1104.2511966683314,-181.91978789432284,statue_of_liberty
-3213.1858730826652,-96.5613872242229,statue_of_liberty
2615.284575676288,-97.21676966117394,statue_of_liberty
-2261.6487285583707,-162.94229689011675,statue_of_liberty
-3385.444504678826,-80.04817575810313,statue_of_liberty
-912.6155529164525,97.53658895605525,statue_of_liberty
2249.9706935939494,321.79443125431317,statue_of_liberty
-2197.95635755725,-187.4111773326629,statue_of_liberty
-4002.375235103608,-70.42689176029431,statue_of_liberty
-2372.2514921980355,-64.53814265357086,statue_of_liberty
-2240.631603304055,-70.59869470252957,statue_of_liberty
-1248.3996544856645,-50.73277026335723,statue_of_liberty
-3025.745121915894,167.32821173200128,statue_of_liberty
1765.214544031468,-144.77060127408365,statue_of_liberty
366.52662382546714,-269.0195414289343,statue_of_liberty
-2462.836726793441,-111.16833033132488,statue_of_liberty
-2888.3960986175425,-120.08175103938031,statue_of_liberty
-2306.9248022419642,48.036658418058494,statue_of_liberty
-5345.55879878976,-22.05376551290106,statue_of_liberty
-3784.381721487114,42.05782209330789,statue_of_liberty
-2562.5452440230783,121.53795641891557,statue_of_liberty
-2719.742346162002,-87.18310873843073,statue_of_liberty
-3871.816485442191,-12.34380403805578,statue_of_liberty
-4379.970405373902,142.7426475410145,statue_of_liberty
-686.8402409039363,-27.722832958163565,statue_of_liberty
-1055.1924508713937,127.23902502270823,statue_of_liberty
-2302.3597087490916,-71.49604093363114,statue_of_liberty
-2221.9418330669623,-120.05512444993198,statue_of_liberty
-667.3317214216695,14.354790420986447,statue_of_liberty
-2025.8007170546643,-105.50516358788467,statue_of_liberty
-3707.385815328488,22.254009076567044,statue_of_liberty
-3818.428197763215,-4.704271756074306,statue_of_liberty
-4314.545797436882,148.72409559549828,statue_of_liberty
-3929.7343133653994,-101.33544527796418,statue_of_liberty
-2111.1245586340956,297.73998232042254,statue_of_liberty
2560.7904869300755,-133.4765752793842,statue_of_liberty
-596.8478303560705,17.64653829145672,statue_of_liberty
-2501.692469265541,68.9878304072779,statue_of_liberty
118.88017202252013,-157.34526733426134,statue_of_liberty
1593.9259161273176,-229.91189567377106,statue_of_liberty
-3130.2014623887508,170.1719951046844,statue_of_liberty
-1076.748394214609,221.29093496067273,statue_of_liberty
477.2740635173459,-44.601242220182684,eiffel_tower
2482.3832335497054,-137.7457258989509,eiffel_tower
-4689.365456157006,16.25216000339701,eiffel_tower
1630.647704107444,38.70611124096284,eiffel_tower
7039.421280218038,1525.7010813773882,eiffel_tower
-1320.329274206897,-144.1183444827921,eiffel_tower
7420.6810496026765,328.0175148626963,eiffel_tower
2004.5476609501684,-100.98406685605275,eiffel_tower
8260.869230289329,-93.48217675195755,eiffel_tower
6093.119503139816,-53.73562755897063,eiffel_tower
5072.950895637842,280.42992107397777,eiffel_tower
536.7562173828637,104.90382352292329,eiffel_tower
-4301.449911251093,87.46205651187074,eiffel_tower
-3767.3841556095945,122.82420306592783,eiffel_tower
-1029.3641756520983,148.2374756402189,eiffel_tower
2525.528484640042,716.7679523758078,eiffel_tower
3143.1190678330377,129.86692834045104,eiffel_tower
2252.719344785569,-76.35895321634013,eiffel_tower
-4785.131059178032,-26.39877655123206,eiffel_tower
-999.1576895321541,-72.18877402824701,eiffel_tower
1962.229471109581,-52.99764552195201,eiffel_tower
-4682.435828029671,-123.61462153841616,eiffel_tower
1521.3139938255927,125.88953140021437,eiffel_tower
-993.4917473014921,25.17637511912463,eiffel_tower
-1912.4340926578043,-52.31724044572028,eiffel_tower
297.44409344747055,216.04886934426563,eiffel_tower
-799.2343534678539,-17.11043850511193,eiffel_tower
2052.2411556549605,-217.513506534656,eiffel_tower
3024.5894090237334,87.8621263884609,eiffel_tower
2178.077318854649,745.4973836767837,eiffel_tower
-1957.9786089292666,-32.82328464275402,eiffel_tower
4771.077309796127,-92.07760700263495,eiffel_tower
-1439.792527946266,1213.5335108217641,eiffel_tower
-6477.564289527995,18.02542851550902,eiffel_tower
7394.309741529555,211.2298755891873,eiffel_tower
1777.979797980085,-278.3508698746963,eiffel_tower
2169.1954816739535,167.8428778552669,eiffel_tower
-3603.241501283557,168.89561964444727,eiffel_tower
-5867.027392177515,-81.70391069187848,eiffel_tower
-1952.3188346440147,56.048041019585156,eiffel_tower
969.6776073645842,31.819092310993014,eiffel_tower
2638.882391273889,-118.72232579923079,eiffel_tower
1241.733211493457,151.47233712321284,eiffel_tower
1520.8946835462111,277.5358247356569,eiffel_tower
-1708.1066717933481,-152.41159104955278,eiffel_tower
-4062.9454809738386,-16.436389340971772,eiffel_tower
3493.4736406681122,-160.11099089082308,eiffel_tower
-2041.427319037598,-97.915504804609,eiffel_tower
794.2564274459228,350.96017307909005,eiffel_tower
-4342.172981726453,-62.82843371649598,eiffel_tower
635.5822926094197,671.6476316551219,eiffel_tower
-1133.4870580065262,603.275074098046,eiffel_tower
4843.403189964924,429.86886871739364,eiffel_tower
-3919.1852804349414,374.8001382146713,eiffel_tower
5028.69113936741,248.07497705271393,eiffel_tower
-664.9278659568954,39.848144409474855,eiffel_tower
-1076.861915244971,199.07172933194553,eiffel_tower
4999.456982378316,-139.13074634404552,eiffel_tower
-5095.67570462727,13.667214705799012,eiffel_tower
24.662442473431838,39.96132989623051,eiffel_tower
1848.4338708744153,102.02675994224842,eiffel_tower
1970.5788923752762,-0.1735124912641055,eiffel_tower
-1551.5185161680183,-205.55574008213893,eiffel_tower
2691.246458660452,680.4964545779824,eiffel_tower
-2047.872161784533,15.243097560352325,eiffel_tower
-5863.810335377791,-80.96239305075659,eiffel_tower
-4520.648610198851,-8.986834829622651,eiffel_tower
-88.44941937076055,7.0874781438274255,eiffel_tower
-5802.1470891147865,2627.490460027124,eiffel_tower
-5370.7364352376335,-32.54588193103238,eiffel_tower
6155.342650590484,167.5746822474928,eiffel_tower
-2948.5564711285733,-12.982719380024207,eiffel_tower
5021.621322910222,434.4738059739342,eiffel_tower
4440.616809826789,-38.23087506231381,eiffel_tower
4601.160150106975,1117.4167263497536,eiffel_tower
5142.0392153578605,8.527146863613936,eiffel_tower
3108.806314514545,176.54377435315095,eiffel_tower
-4534.760165055193,443.9168556892281,eiffel_tower
6443.325623798434,524.3351728432182,eiffel_tower
489.9638176512226,113.193448180871,eiffel_tower
