PCA_1,class
-101.61474863855528,eiffel_tower
-818.3196576585278,eiffel_tower
-3237.112018786943,eiffel_tower
1174.5408836172692,eiffel_tower
-1762.6827076278041,eiffel_tower
-348.36525492895726,eiffel_tower
-939.3226437729636,eiffel_tower
-816.6268777364285,eiffel_tower
-1134.3686960682944,eiffel_tower
-2028.0101523802896,eiffel_tower
-3422.7010023259536,eiffel_tower
-3422.6636660830436,eiffel_tower
1546.5675143406324,eiffel_tower
3863.3556397785824,eiffel_tower
5796.975625317861,eiffel_tower
238.68591815179843,eiffel_tower
-4611.954287674142,eiffel_tower
-2307.610467438768,eiffel_tower
4711.7843916587635,eiffel_tower
-1104.39475999151,stonehenge
-4485.433867402884,stonehenge
723.5803042339385,stonehenge
-4882.706995821871,stonehenge
164.52005274013118,stonehenge
2415.9995269342826,stonehenge
765.3628115927395,stonehenge
1006.8003528366198,stonehenge
-2246.594527132158,stonehenge
-843.4419932432565,stonehenge
-469.0328524614233,stonehenge
3450.3348922920586,stonehenge
730.9224364245283,stonehenge
-3168.6147923866247,stonehenge
-1276.669509899627,stonehenge
1013.0759982988957,stonehenge
-3144.0565809589716,stonehenge
-5077.181800794493,stonehenge
113.83295348177671,stonehenge
-888.2907170692033,stonehenge
408.35078041697216,stonehenge
-147.7240330651157,stonehenge
4491.309787214278,stonehenge
175.6525367599288,stonehenge
4477.5561433373305,stonehenge
-4435.054028114075,stonehenge
-2047.6880622411963,stonehenge
-463.5916566189089,stonehenge
-1617.8404951595885,stonehenge
-730.2058988990902,stonehenge
-1836.457130611664,stonehenge
2286.50124299079,stonehenge
-1533.5047744099238,stonehenge
-1798.1851203725237,stonehenge
-1395.1645905173073,stonehenge
-2575.1257502380295,stonehenge
-6799.055617433375,stonehenge
-1648.3437868358906,stonehenge
-6807.299387867448,stonehenge
-3524.359381130578,stonehenge
-3667.6064493615695,stonehenge
813.7897067986169,stonehenge
-425.31546894802705,stonehenge
4295.298808784252,stonehenge
-2826.596795243351,stonehenge
4452.039836243323,stonehenge
-1464.4933376465924,stonehenge
-4205.2331688444465,stonehenge
-1279.4577255442691,stonehenge
765.5919855325728,stonehenge
4449.766693967861,stonehenge
-2549.1200743860554,stonehenge
450.776904830901,stonehenge
-1900.9870738098734,stonehenge
2669.217894701872,stonehenge
-2489.2640724550156,stonehenge
2268.8120654467575,stonehenge
-547.4230553813159,stonehenge
1121.1083860183035,stonehenge
-1063.1950431325886,stonehenge
1302.9262402054455,stonehenge
-381.58792259169513,stonehenge
-562.6745164681352,stonehenge
1996.277394230995,stonehenge
-568.4958742005529,stonehenge
205.43580471234782,stonehenge
-1803.451797497547,stonehenge
-2792.5850148081763,stonehenge
-3205.518944276335,stonehenge
456.1692148429638,stonehenge
-1368.517856844387,stonehenge
4750.288299444036,stonehenge
4478.625715516785,stonehenge
3084.0860174811814,stonehenge
-4772.206999512766,stonehenge
-1728.9969545261838,stonehenge
1703.273506049888,stonehenge
4115.259933570779,stonehenge
4405.281670636407,stonehenge
2295.67988881982,stonehenge
-411.90782423485416,stonehenge
-4184.674043441708,stonehenge
1831.3405546823587,stonehenge
4438.944915754518,stonehenge
3518.2319228803162,stonehenge
673.7789668963915,stonehenge
-2221.6812662272823,stonehenge
-927.2244679179394,stonehenge
2537.250900519549,stonehenge
3689.962168064857,stonehenge
-987.9558283494416,stonehenge
1545.7239704000558,stonehenge
2326.1696665773206,stonehenge
704.8654966389195,stonehenge
1268.7585913994108,stonehenge
-2772.526944319796,stonehenge
-4322.337517625382,stonehenge
2329.3955150815736,stonehenge
-4374.6415622820805,stonehenge
3410.1606331510693,stonehenge
6083.1669053221785,chichen_itza
-1752.2963287308585,chichen_itza
-674.861978775747,chichen_itza
6575.366272432916,chichen_itza
2192.2322869562786,chichen_itza
4960.566900478224,chichen_itza
-431.4777775710536,chichen_itza
2617.8227371278454,chichen_itza
1876.960141714134,chichen_itza
4563.808011561386,chichen_itza
5956.153603581307,chichen_itza
-1468.4731154543142,chichen_itza
591.0876149033184,chichen_itza
2229.1256924555264,chichen_itza
1158.0111220481385,chichen_itza
805.1958028120798,chichen_itza
2892.1756934980576,chichen_itza
-1794.8354672123587,chichen_itza
7415.955523311729,chichen_itza
4379.879013641305,chichen_itza
-1108.62094697884,chichen_itza
-339.4346550913233,chichen_itza
-737.2800117144188,chichen_itza
1920.781939834077,chichen_itza
